Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
3499990.0,4000000.0,,,Dell,,512GB,Alienware,,8GB,512GB SSD
1979990.0,2500000.0,,,Dell,Ultra 5,512GB,Latitude,Intel Core Ultra 5,8GB,512GB SSD
1799990.0,2150000.0,,,Asus,M1,512GB,Vivobook,Apple M1,8GB,512GB SSD
4409990.0,4800000.0,,,Dell,,,Alienware,,8GB,1TB SSD
2399990.0,2800000.0,,,HP,Ultra 7,,OmniBook,Intel Core Ultra 7,16GB,1TB SSD
3019990.0,3500000.0,,,HP,,512GB,Victus,Intel Core i7,16GB,512GB SSD
2869990.0,2999990.0,,,Apple,M4,,MacBook,,,
1344990.0,1450000.0,,,Dell,Ryzen 5,,Inspiron,AMD Ryzen 5,8GB,256GB SSD
1199990.0,1699990.0,5.0,4.0,Infinix,Core i7,512GB,Inbook,Intel Core i7,8GB,512GB SSD
2429990.0,3800000.0,,,Apple,Core i5,,MacBook,Intel Core i5,8GB,512GB SSD
1459990.0,1749990.0,,,HP,Core i5,,Other,Intel Core i5,8GB,512GB SSD
1874990.0,2300000.0,,,Dell,Core i7,512GB,Inspiron,Intel Core i7,8GB,512GB SSD
4069990.0,4200000.0,,,Apple,M2,,MacBook,Apple M2,8GB,512GB SSD
1079990.0,1250000.0,,,HP,Core i3,,Other,Intel Core i3,4GB,256GB SSD
2059990.0,2380000.0,,,Lenovo,Core i7,,IdeaPad,Intel Core i7,16GB,512GB SSD
3499990.0,4000000.0,,,HP,,,Victus,Intel Core i7,8GB,1TB SSD
1479990.0,1700000.0,,,Asus,,,ExpertBook,Intel Core i5,,
3999990.0,4499990.0,,,Apple,M3,,MacBook,Apple M3,,
1119990.0,1430000.0,,,Dell,,512GB,Vostro,Intel Core i3,8GB,512GB SSD
4899990.0,4999990.0,,,Apple,M4,,MacBook,,,
2959990.0,3050000.0,,,Acer,Core i7,512GB,V Series,Intel Core i7,8GB,512GB SSD
3009990.0,3300000.0,,,Acer,,512GB,Nitro,AMD Ryzen 7,16GB,512GB SSD
3469990.0,3700000.0,,,HP,Ultra 9,,OmniBook,,32GB,1TB SSD
3449990.0,3800000.0,,,HP,Ultra 7,512GB,Other,Intel Core Ultra 7,16GB,512GB SSD
1479990.0,1650000.0,,,Dell,,512GB,Other,,8GB,512GB SSD
2009990.0,2499990.0,,,HP,Ryzen 7,,Other,AMD Ryzen 7,16GB,1TB SSD
1569990.0,1999990.0,,,HP,Ryzen 5,,Other,AMD Ryzen 5,16GB,512GB SSD
1599990.0,2199990.0,3.0,1.0,HP,Core i5,,Other,Intel Core i5,8GB,512GB SSD
1099990.0,1350000.0,4.0,1.0,HP,Core i3,256GB,Other,Intel Core i3,8GB,256GB SSD
1699990.0,2200000.0,,,HP,Core i5,512GB,Envy,Intel Core i5,8GB,512GB SSD
1009990.0,1250000.0,,,Dell,Core i3,,Vostro,Intel Core i3,8GB,512GB SSD
1509990.0,1850000.0,,,HP,Core i5,,Other,Intel Core i5,8GB,512GB SSD
